paper_id,mix_id,replacement_pct,age_days,strength_mpa,wb_block,graph_derived,age_known,mix_activation,source
38,,75.0,,5.8,,False,False,,sheet1
38,,100.0,,1.6,,False,False,,sheet1
39,3d,0.0,3.0,19.97,,False,True,,sheet1
39,7d,0.0,7.0,26.64,,False,True,,sheet1
39,28d,0.0,28.0,39.17,,False,True,,sheet1
39,Control,0.0,,39.17,,False,False,,matrix
42,0%,0.0,28.0,1.9,,True,True,,sheet1
42,0%,0.0,28.0,2.0,,True,True,,sheet1
42,NFC-II,0.0,,1.9,,True,False,,matrix
42,NFC-1,0.0,,2.04,,True,False,,matrix
42,10%,10.0,28.0,1.5,,True,True,,sheet1
42,10%,10.0,28.0,1.7,,True,True,,sheet1
42,RPFC10-II,10.0,,1.5,,True,False,,matrix
42,RPFC10-1,10.0,,1.67,,True,False,,matrix
42,20%,20.0,28.0,1.3,,True,True,,sheet1
42,20%,20.0,28.0,1.5,,True,True,,sheet1
42,RPFC20-11,20.0,,1.3,,True,False,,matrix
42,RPFC20-1,20.0,,1.5,,True,False,,matrix
42,30%,30.0,28.0,1.2,,True,True,,sheet1
42,30%,30.0,28.0,1.3,,True,True,,sheet1
42,RPFC30-II,30.0,,1.2,,True,False,,matrix
42,RPFC30-1,30.0,,1.32,,True,False,,matrix
42,40%,40.0,28.0,0.8,,True,True,,sheet1
42,40%,40.0,28.0,0.9,,True,True,,sheet1
42,RPFC40-II,40.0,,0.76,,True,False,,matrix
42,RPFC40-1,40.0,,0.88,,True,False,,matrix
43,FRAC,0.0,,2.22,,False,False,,matrix
43,FCRAC,0.0,,2.71,,False,False,,matrix
43,FFRAC,0.0,,2.83,,False,False,,matrix
43,NAC,0.0,,3.63,,False,False,,matrix
43,FFRAC,0.0,,57.9,,False,False,,matrix
43,for 0% RP control,0.0,,58.3,,False,False,,sheet1
43,FCRAC,0.0,,64.6,,False,False,,matrix
43,NAC,0.0,,67.6,,False,False,,matrix
43,FRAC-10,10.0,,2.19,,False,False,Mechanical activation,matrix
43,for 10% RP,10.0,,58.4,,False,False,,sheet1
43,FRAC-20,20.0,,2.08,,False,False,Mechanical activation,matrix
43,for 20% RP,20.0,,56.9,,False,False,,sheet1
43,FRAC-30,30.0,,1.95,,False,False,Mechanical activation,matrix
43,for 30% RP,30.0,,52.7,,False,False,,sheet1
44,Mref,0.0,7.0,82.0,,True,True,,matrix
44,Mref,0.0,7.0,88.0,,True,True,,matrix
44,Mref,0.0,7.0,92.0,,True,True,,matrix
44,MSF10,10.0,7.0,74.0,,True,True,,sheet1
44,MSF 10 / MSF10,10.0,7.0,89.0,,True,True,,matrix
44,MSF 10 / MSF10,10.0,7.0,92.0,,True,True,,matrix
44,MSF10,10.0,28.0,89.0,,True,True,,sheet1
44,MSF10,10.0,56.0,92.0,,True,True,,sheet1
44,MSF20,20.0,7.0,54.0,,True,True,,sheet1
44,MSF 20 / MSF20,20.0,7.0,71.0,,True,True,,matrix
44,MSF 20 / MSF20,20.0,7.0,74.0,,True,True,,matrix
44,MSF20,20.0,28.0,71.0,,True,True,,sheet1
44,MSF20,20.0,56.0,74.0,,True,True,,sheet1
44,MSF30,30.0,7.0,51.0,,True,True,,sheet1
44,MSF 30 / MSF30,30.0,7.0,59.0,,True,True,,matrix
44,MSF 30 / MSF30,30.0,7.0,65.0,,True,True,,matrix
44,MSF30,30.0,28.0,59.0,,True,True,,sheet1
44,MSF30,30.0,56.0,65.0,,True,True,,sheet1
46,RGP0,0.0,,14.56,,False,False,,matrix
46,RGP0,0.0,,42.3,,False,False,,sheet1
